Model,Accuracy,F1_Score,Energy_Joules
Baseline (FP32),0.5404,0.5130537766589925,45.241153145196556
Pruned_20pct,0.5354,0.5121668940500085,36.6462631588051
Pruned_40pct,0.5246,0.5055799289005405,36.50078653559436
Pruned_60pct,0.5286,0.5113120749017578,25.028221983197806
Quantized_INT8,0.5398,0.5128388734969144,62.134185476809805
Distilled_Student_T2.0,0.5208,0.48872850658282774,47.395074709999484
Distilled_Student_T5.0,0.5172,0.4649831178944352,26.50524519159117
Joint_Optimization_Edge_Model,0.514,0.46245400900255035,47.32096872440062
Baseline (FP32),0.5142,0.49222066174322504,41.02001544123741
Pruned_20pct,0.5134,0.4919657756438811,32.596939189228344
Pruned_40pct,0.5168,0.49547479577915987,43.47060672611344
Pruned_60pct,0.5152,0.47938667434232635,54.76430174189695
Quantized_INT8,0.5136,0.4915873574871506,34.47306028112986
Distilled_Student_T2.0,0.523,0.4331211629962383,11.829899721507726
Distilled_Student_T5.0,0.5216,0.42276962930580614,61.411930927526
Joint_Optimization_Edge_Model,0.5228,0.42148009977097206,26.798488897143592
